station_id,primary_station_id_3,primary_station_id_2,station_name,height_of_station_above_sea_level,sub_region,region,record_id,source_id
USC00472412,USC00472412-161,USC00472412-1,WI EAST TROY AP,256,231,4,1,161
USC00472413,USC00472413-161,USC00472413-1,WI EAST TROY,254,231,4,1,161
USC00472423,USC00472423-161,USC00472423-1,WI EAU CLAIRE,235,231,4,1,161
USC00472425,USC00472425-161,USC00472425-1,WI EAU CLAIRE 3SW,268,231,4,1,161
USC00472447,USC00472447-161,USC00472447-1,WI EAU PLEINE RSVR,357,231,4,1,161
USC00472507,USC00472507-161,USC00472507-1,WI EL DORADO 1 SSW,271,231,4,1,161
USC00472556,USC00472556-161,USC00472556-1,WI ELLSWORTH 1E,314,231,4,1,161
USC00472626,USC00472626-161,USC00472626-1,WI EPHRAIM 1NE-WWTP,223,231,4,1,161
USC00472678,USC00472678-161,USC00472678-1,WI FAIRCHILD RS,329,231,4,1,161
USC00472745,USC00472745-161,USC00472745-1,WI FENNIMORE 1 NE,360,231,4,1,161
USC00472814,USC00472814-161,USC00472814-1,WI FLAMBEAU RSVR,479,231,4,1,161
USC00472822,USC00472822-162,USC00472822-1,WI FLORENCE,393,231,4,1,162
USC00472826,USC00472826-161,USC00472826-1,WI FLORENCE,396,231,4,1,161
USC00472839,USC00472839-161,USC00472839-1,WI FOND DU LAC WWTP   HCN,229,231,4,1,161
USC00472842,USC00472842-161,USC00472842-1,WI FOND DU LAC 2 SW,235,231,4,1,161
USC00472844,USC00472844-161,USC00472844-1,WI FONTANA,320,231,4,1,161
USC00472851,USC00472851-161,USC00472851-1,WI FORESTVILLE-4E,210,231,4,1,161
USC00472869,USC00472869-161,USC00472869-1,WI FT ATKINSON,244,231,4,1,161
USC00472889,USC00472889-161,USC00472889-1,WI FOXBORO,284,231,4,1,161
USC00472893,USC00472893-161,USC00472893-1,WI FOXBORO 6 SSE,384,231,4,1,161
USC00472901,USC00472901-161,USC00472901-1,WI FOX LAKE,-999,231,4,1,161
USC00472934,USC00472934-161,USC00472934-1,WI FREDERIC,378,231,4,1,161
USC00472973,USC00472973-161,USC00472973-1,WI FRIENDSHIP,288,231,4,1,161
USC00472992,USC00472992-161,USC00472992-1,WI GALESVILLE 3ENE,245,231,4,1,161
USC00472996,USC00472996-161,USC00472996-1,WI GALESVILLE 2WSW,234,231,4,1,161
USC00473021,USC00473021-161,USC00473021-1,WI GAYS MILLS,223,231,4,1,161
USC00473022,USC00473022-161,USC00473022-1,WI GAYS MILLS,210,231,4,1,161
USC00473038,USC00473038-161,USC00473038-1,WI GENOA DAM 8,195,231,4,1,161
USC00473040,USC00473040-161,USC00473040-1,WI GENOA CITY,259,231,4,1,161
USC00473058,USC00473058-161,USC00473058-1,WI GERMANTOWN,259,231,4,1,161
USC00473090,USC00473090-162,USC00473090-1,WI GLEN FLORA,450,231,4,1,162
USC00473116,USC00473116-161,USC00473116-1,WI OOSTBURG,207,231,4,1,161
USC00473174,USC00473174-161,USC00473174-1,WI GOODMAN SANITARY DIST,441,231,4,1,161
USC00473182,USC00473182-161,USC00473182-1,WI GOODRICH 1 E,424,231,4,1,161
USC00473186,USC00473186-161,USC00473186-1,WI GORDON,317,231,4,1,161
USC00473198,USC00473198-161,USC00473198-1,WI GRAFTON WWTP,226,231,4,1,161
USC00473214,USC00473214-161,USC00473214-1,WI GRAND RIVER LOCK,235,231,4,1,161
USC00473242,USC00473242-161,USC00473242-1,WI GRANTSBURG,336,231,4,1,161
USC00473250,USC00473250-162,USC00473250-1,WI GRATIOT,243,231,4,1,162
USC00473268,USC00473268-161,USC00473268-1,WI GREEN BAY WFO,208,231,4,1,161
USC00473271,USC00473271-161,USC00473271-1,WI GREEN BAY BOTANICAL,212,231,4,1,161
USC00473332,USC00473332-161,USC00473332-1,WI SAXON 1WSW,355,231,4,1,161
USC00473370,USC00473370-162,USC00473370-1,WI HAMMOND,356,231,4,1,162
USC00473391,USC00473391-161,USC00473391-1,WI HALES CORNERS/WHITNALL PARK/BO,236,231,4,1,161
USC00473405,USC00473405-161,USC00473405-1,WI HANCOCK EXP FARM   HCN,333,231,4,1,161
USC00473453,USC00473453-161,USC00473453-1,WI HARTFORD WWTP,293,231,4,1,161
USC00473461,USC00473461-162,USC00473461-1,WI HARTLAND,283,231,4,1,162
USC00473471,USC00473471-161,USC00473471-1,WI HATFIELD,272,231,4,1,161
USC00473511,USC00473511-161,USC00473511-1,WI HAYWARD RS,366,231,4,1,161
USC00473532,USC00473532-162,USC00473532-1,WI HEAFFORD,-999,231,4,1,162
USC00473560,USC00473560-162,USC00473560-1,WI HERBSTER,213,231,4,1,162
USC00473636,USC00473636-161,USC00473636-1,WI ARGONNE 1.5-NW,510,231,4,1,161
