observation_id,data_policy_licence,date_time,date_time_meaning,observation_duration,longitude,latitude,report_type,height_above_surface,observed_variable,units,observation_value,value_significance,platform_type,station_type,primary_station_id,station_name,quality_flag,source_id
GM000003319-5-1899-12-85-0,Open,1899-12-01 00:00:00+00:00,beginning,monthly,13.302,52.464,CLIMAT,2.0,air_temperature,K,272.38,Maximum value over indicated period,,Land station,GM000003319,BERLIN-DAHLEM,Passed,232
GM000003319-5-1899-12-85-1,Open,1899-12-01 00:00:00+00:00,beginning,monthly,13.302,52.464,CLIMAT,2.0,air_temperature,K,267.82,Minimum value over indicated period,,Land station,GM000003319,BERLIN-DAHLEM,Passed,232
GM000003342-4-1899-01-85-0,Open,1899-01-01 00:00:00+00:00,beginning,monthly,13.064,52.383,CLIMAT,2.0,air_temperature,K,278.23,Maximum value over indicated period,,Land station,GM000003342,POTSDAM,Passed,229
GM000003342-4-1899-01-85-1,Open,1899-01-01 00:00:00+00:00,beginning,monthly,13.064,52.383,CLIMAT,2.0,air_temperature,K,272.79,Minimum value over indicated period,,Land station,GM000003342,POTSDAM,Passed,229
GM000003342-4-1899-02-85-0,Open,1899-02-01 00:00:00+00:00,beginning,monthly,13.064,52.383,CLIMAT,2.0,air_temperature,K,278.75,Maximum value over indicated period,,Land station,GM000003342,POTSDAM,Passed,229
GM000003342-4-1899-02-85-1,Open,1899-02-01 00:00:00+00:00,beginning,monthly,13.064,52.383,CLIMAT,2.0,air_temperature,K,272.36,Minimum value over indicated period,,Land station,GM000003342,POTSDAM,Passed,229
GM000003342-4-1899-03-85-0,Open,1899-03-01 00:00:00+00:00,beginning,monthly,13.064,52.383,CLIMAT,2.0,air_temperature,K,281.31,Maximum value over indicated period,,Land station,GM000003342,POTSDAM,Passed,229
GM000003342-4-1899-03-85-1,Open,1899-03-01 00:00:00+00:00,beginning,monthly,13.064,52.383,CLIMAT,2.0,air_temperature,K,271.8,Minimum value over indicated period,,Land station,GM000003342,POTSDAM,Passed,229
GM000003342-4-1899-04-85-0,Open,1899-04-01 00:00:00+00:00,beginning,monthly,13.064,52.383,CLIMAT,2.0,air_temperature,K,286.58,Maximum value over indicated period,,Land station,GM000003342,POTSDAM,Passed,229
GM000003342-4-1899-04-85-1,Open,1899-04-01 00:00:00+00:00,beginning,monthly,13.064,52.383,CLIMAT,2.0,air_temperature,K,276.1,Minimum value over indicated period,,Land station,GM000003342,POTSDAM,Passed,229
GM000003342-4-1899-05-85-0,Open,1899-05-01 00:00:00+00:00,beginning,monthly,13.064,52.383,CLIMAT,2.0,air_temperature,K,290.6,Maximum value over indicated period,,Land station,GM000003342,POTSDAM,Passed,229
GM000003342-4-1899-05-85-1,Open,1899-05-01 00:00:00+00:00,beginning,monthly,13.064,52.383,CLIMAT,2.0,air_temperature,K,280.65,Minimum value over indicated period,,Land station,GM000003342,POTSDAM,Passed,229
GM000003342-4-1899-06-85-0,Open,1899-06-01 00:00:00+00:00,beginning,monthly,13.064,52.383,CLIMAT,2.0,air_temperature,K,293.47,Maximum value over indicated period,,Land station,GM000003342,POTSDAM,Passed,229
GM000003342-4-1899-06-85-1,Open,1899-06-01 00:00:00+00:00,beginning,monthly,13.064,52.383,CLIMAT,2.0,air_temperature,K,283.2,Minimum value over indicated period,,Land station,GM000003342,POTSDAM,Passed,229
GM000003342-4-1899-07-85-0,Open,1899-07-01 00:00:00+00:00,beginning,monthly,13.064,52.383,CLIMAT,2.0,air_temperature,K,296.72,Maximum value over indicated period,,Land station,GM000003342,POTSDAM,Passed,229
GM000003342-4-1899-07-85-1,Open,1899-07-01 00:00:00+00:00,beginning,monthly,13.064,52.383,CLIMAT,2.0,air_temperature,K,287.2,Minimum value over indicated period,,Land station,GM000003342,POTSDAM,Passed,229
GM000003342-4-1899-08-85-0,Open,1899-08-01 00:00:00+00:00,beginning,monthly,13.064,52.383,CLIMAT,2.0,air_temperature,K,296.54,Maximum value over indicated period,,Land station,GM000003342,POTSDAM,Passed,229
GM000003342-4-1899-08-85-1,Open,1899-08-01 00:00:00+00:00,beginning,monthly,13.064,52.383,CLIMAT,2.0,air_temperature,K,284.87,Minimum value over indicated period,,Land station,GM000003342,POTSDAM,Passed,229
