DWD - Day Historical Data
relh/wspd/airtmax/airtmin
                         
                         
AJ_Kettle  20171003
                                        
Stnid Height   Latitude Longitud St_date  En_date  N_TOTAL  RELH  RELH  RELH  RELH  WSPD  WSPD  WSPD  WSPD  AIRTH AIRTH AIRTH AIRTH AIRTL AIRTL AIRTL AIRTL 
Stnid Height   Latitude Longitud St_date  En_date  N_TOTAL  NGOOD MIN   MAX   AVG   NGOOD MIN   MAX   AVG   NGOOD MIN   MAX   AVG   NGOOD MIN   MAX   AVG   
Stnid Height   Latitude Longitud St_date  En_date  N_TOTAL        %     %     %           m/s   m/s   m/s         C     C     C           C     C     C     
+---+ +------+ +------+ +------+ +------+ +------+ +------+ +----++----++----++----++----++----++----++----++----++----++----++----++----++----++----++----+
00434    35     52.4553  13.4699 19470101 19601231     4018   4018  36.0  99.0 77.51     0-99.00-99.00-99.00  4018 -14.8  37.0 13.35  4018 -22.8  20.5  4.94
00435    45     52.4289  13.2327 19640101 20061231    15706  15706  28.0 100.0 76.79     0-99.00-99.00-99.00 15706 -15.8  37.0 13.40 15706 -22.2  21.9  5.49
00445    84     51.8218  11.7109 18980101 20151231    32322  23980  33.0 100.0 78.24     0-99.00-99.00-99.00 32322 -17.5  38.9 13.56 32322 -26.5  22.0  5.05
00450   120     49.9186   7.0664 19450101 20121203    24809  24776  17.0 100.0 74.80     0-99.00-99.00-99.00 24803 -12.6  39.2 14.92 24803 -19.9  23.2  6.43
00460   363     49.2640   6.6868 19510101 20151231    23723  23623  28.0 100.0 79.98 17017  0.10 15.90  4.24 23629 -14.0  37.8 13.09 23627 -20.7  23.8  5.62
00474   599     48.1252   9.7639 19590101 19860930    10135  10135  35.0  98.0 77.67     0-99.00-99.00-99.00 10135 -16.1  37.0 12.58 10135 -24.1  20.2  3.93
00480   296     50.9275   8.4935 19450101 20061231    22263  22091  30.0 100.0 79.47     0-99.00-99.00-99.00 22263 -15.0  36.9 12.82 22263 -27.7  20.5  3.76
00502   412     49.8747   9.4883 19670801 20061231    14398  14398  28.0 100.0 79.37     0-99.00-99.00-99.00 14398 -15.0  36.0 12.15 14398 -20.5  20.6  4.33
00524    80     51.6333  12.3167 19470101 19921231     8036   8035  31.0 100.0 74.26     0-99.00-99.00-99.00  8028 -17.2  39.1 13.85  8033 -23.6  22.3  5.70
00526   254     50.6738  11.2805 19510101 19751231     9131   8955  41.0  97.0 77.04     0-99.00-99.00-99.00  8965 -16.5  39.3 13.40  8965 -24.9  21.6  3.67
00535   417     50.0372   7.3079 19470101 20151231    24074  23553  29.1 100.0 81.77     0-99.00-99.00-99.00 24074 -16.4  36.1 12.21 24074 -22.3  22.2  4.56
00550   344     50.9041  11.7985 19940501 20020930     3075   3075  35.0 100.0 77.90     0-99.00-99.00-99.00  3075 -13.4  34.4 13.35  3075 -20.7  22.1  5.65
00553    25     51.8380   6.6107 19540101 19740831     7548   7548  33.0 100.0 78.72  1553  0.70  9.70  3.24  7548 -12.5  36.3 13.49  7548 -20.4  21.7  6.12
00554    23     51.8293   6.5365 19470101 20060228    14061  14025  30.0 100.0 79.80 11360  0.30 15.20  3.48 14035 -11.1  36.5 13.94 14035 -20.6  21.6  5.88
00555   101     51.4789   7.2697 19400101 20151231    15826  15757  27.0 100.0 76.48     0-99.00-99.00-99.00 15826 -13.7  36.7 14.08 15826 -20.3  23.8  6.74
00576   445     48.6759   8.9732 19870801 20031231     5997   5997  29.0  98.0 76.91     0-99.00-99.00-99.00  5997 -11.5  37.2 14.33  5997 -19.3  20.6  4.58
00578   379     48.9451  11.3667 19510301 19661231     5785   5632  44.0 100.0 78.78     0-99.00-99.00-99.00  5785 -14.8  36.1 12.79  5785 -29.1  20.6  2.56
00588   105     51.7520   9.3953 19920501 19960731     1553   1553  39.0  97.0 76.04     0-99.00-99.00-99.00  1553  -9.3  37.9 14.12  1553 -16.0  20.5  5.35
00591    45     53.3911  10.6878 19470101 20151231    25202  24443  31.0 100.0 80.16 13032  0.20 12.40  3.82 24865 -14.3  37.3 12.86 24865 -23.5  21.2  5.10
00592    10     53.8634   9.7344 19460101 19621231     6209   6209  41.0 100.0 83.82     0-99.00-99.00-99.00  6209 -10.9  34.0 12.32  6209 -23.9  20.0  4.34
00596    15     54.0028  11.1908 19470101 20151231    25202  25201   6.0 100.0 82.72 15567  0.20 20.10  5.62 25202 -11.7  36.6 11.86 25202 -24.6  21.9  5.66
00598    62     50.7285   7.0839 19490101 19570831     3165   3165  33.0  98.0 75.47     0-99.00-99.00-99.00  3165 -11.4  37.0 14.38  3165 -22.0  22.0  6.17
00599    62     50.7055   7.1467 19321001 19990301    22858  18378  28.0 100.0 76.67  8825  0.10  9.90  2.55 18799 -13.0  37.9 14.39 18799 -23.0  22.5  6.18
00603   159     50.7349   7.1931 20000701 20151231     5640   5524  32.0 100.0 78.40  3817  0.40  7.90  2.78  5540  -9.2  37.4 14.77  5541 -16.4  22.9  6.57
00606   569     48.0791  10.1977 19500101 19540731     1673      0 -99.0 -99.0-99.00     0-99.00-99.00-99.00  1673 -11.8  34.3 12.48  1673 -20.0  19.8  3.68
