station_id,primary_station_id_3,primary_station_id_2,height_of_station_above_sea_level,sub_region,region,source_id,record_id,station_name
ARM00087349,ARM00087349-166,ARM00087349-1,338,10,3,166,1,PILAR OBSERVATORIO
ARM00087395,ARM00087395-166,ARM00087395-1,34.1,10,3,166,1,COMODORO PIERRESTEGUI
ARM00087416,ARM00087416-166,ARM00087416-1,653,10,3,166,1,SAN MARTIN
ARM00087420,ARM00087420-166,ARM00087420-1,827,10,3,166,1,MENDOZA OBSERVATORIO
ARM00087436,ARM00087436-166,ARM00087436-1,709.9,10,3,166,1,SAN LUIS
ARM00087448,ARM00087448-166,ARM00087448-1,484.9,10,3,166,1,VILLA REYNOLDS
ARM00087453,ARM00087453-166,ARM00087453-1,420.9,10,3,166,1,RIO CUARTO AREA DE MATERIAL
ARM00087467,ARM00087467-166,ARM00087467-1,110,10,3,166,1,MARCOS JUAREZ
ARM00087480,ARM00087480-166,ARM00087480-1,25.9,10,3,166,1,ROSARIO
ARM00087497,ARM00087497-166,ARM00087497-1,22.9,10,3,166,1,GUALEGUAYCHU GSN
ARM00087506,ARM00087506-166,ARM00087506-1,1430.1,10,3,166,1,MALARGUE GSN
ARM00087509,ARM00087509-166,ARM00087509-1,752.9,10,3,166,1,SAN RAFAEL
ARM00087532,ARM00087532-166,ARM00087532-1,139.9,10,3,166,1,GENERAL PICO
ARM00087548,ARM00087548-166,ARM00087548-1,79.9,10,3,166,1,JUNIN
ARM00087550,ARM00087550-166,ARM00087550-1,76,10,3,166,1,NUEVE DE JULIO
ARM00087563,ARM00087563-166,ARM00087563-1,38,10,3,166,1,LAS FLORES
ARM00087576,ARM00087576-166,ARM00087576-1,20.4,10,3,166,1,MINISTRO PISTARINI
ARM00087582,ARM00087582-166,ARM00087582-1,5.5,10,3,166,1,AEROPARQUE JORGE NEWBERY
ARM00087593,ARM00087593-166,ARM00087593-1,21.9,10,3,166,1,LA PLATA GSN
ARM00087596,ARM00087596-166,ARM00087596-1,22,10,3,166,1,PUNTA INDIO B.A.
ARM00087637,ARM00087637-166,ARM00087637-1,233,10,3,166,1,CORONEL SUAREZ AERO
ARM00087640,ARM00087640-166,ARM00087640-1,94,10,3,166,1,BOLIVAR AERO
ARM00087641,ARM00087641-166,ARM00087641-1,147,10,3,166,1,AZUL AERO
ARM00087643,ARM00087643-166,ARM00087643-1,166,10,3,166,1,OLAVARRIA AERO
ARM00087645,ARM00087645-166,ARM00087645-1,175,10,3,166,1,TANDIL
ARM00087648,ARM00087648-166,ARM00087648-1,9,10,3,166,1,DOLORES AIRPORT
ARM00087679,ARM00087679-166,ARM00087679-1,304,10,3,166,1,PIGUE AIRPORT
ARM00087688,ARM00087688-166,ARM00087688-1,121.9,10,3,166,1,TRES ARROYOS
ARM00087736,ARM00087736-166,ARM00087736-1,79,10,3,166,1,RIO COLORADO
ARM00087765,ARM00087765-166,ARM00087765-1,846.1,10,3,166,1,SAN CARLOS DE BARILOCHE
ARM00087774,ARM00087774-166,ARM00087774-1,888,10,3,166,1,MAQUINCHAO
ARM00087784,ARM00087784-166,ARM00087784-1,20,10,3,166,1,SAN ANTONIO OESTE AERO
ARM00087791,ARM00087791-166,ARM00087791-1,6.1,10,3,166,1,GOBERNADOR CASTELLO
ARM00087800,ARM00087800-166,ARM00087800-1,344.7,10,3,166,1,EL BOLSON
ARM00087814,ARM00087814-166,ARM00087814-1,460,10,3,166,1,PASO DE INDIOS
ARM00087852,ARM00087852-166,ARM00087852-1,429,10,3,166,1,PERITO MORENO ARPT
ARM00087880,ARM00087880-166,ARM00087880-1,356,10,3,166,1,GOBERNADOR GREGORES
ARM00087896,ARM00087896-166,ARM00087896-1,81.1,10,3,166,1,PUERTO DESEADO
ARM00087903,ARM00087903-166,ARM00087903-1,220,10,3,166,1,LAGO ARGENTINO ARPT
ARM00087904,ARM00087904-166,ARM00087904-1,204,10,3,166,1,EL CALAFATE AERO
ARM00087909,ARM00087909-166,ARM00087909-1,57.9,10,3,166,1,SAN JULIAN
ARM00087934,ARM00087934-166,ARM00087934-1,19.8,10,3,166,1,RIO GRANDE
ARM00087938,ARM00087938-166,ARM00087938-1,21.6,10,3,166,1,USHUAIA MALVINAS ARGENTINAS
ASM00094275,ASM00094275-166,ASM00094275-1,295,13,5,166,1,GEORGETOWN POST OFFICE
ASM00094299,ASM00094299-166,ASM00094299-1,9,13,5,166,1,WILLIS ISLAND GSN
ASM00094940,ASM00094940-166,ASM00094940-1,85,13,5,166,1,JERVIS BAY
ASM00094995,ASM00094995-166,ASM00094995-1,7,13,5,166,1,LORD HOWE ISLAND AERO GSN
ASM00094998,ASM00094998-166,ASM00094998-1,8.3,13,5,166,1,MACQUARIE ISLAND GSN
ASN00001005,ASN00001005-225,ASN00001005-1,20,13,5,225,1,WYNDHAM PORT
ASN00001006,ASN00001006-225,ASN00001006-1,3.8,13,5,225,1,WYNDHAM AERO
ASN00001007,ASN00001007-225,ASN00001007-1,6,13,5,225,1,TROUGHTON ISLAND
ASN00001009,ASN00001009-225,ASN00001009-1,12,13,5,225,1,KURI BAY
ASN00001012,ASN00001012-225,ASN00001012-1,315,13,5,225,1,MITCHELL PLATEAU
ASN00001013,ASN00001013-225,ASN00001013-1,11,13,5,225,1,WYNDHAM
ASN00001018,ASN00001018-225,ASN00001018-1,546,13,5,225,1,MOUNT ELIZABETH
ASN00001019,ASN00001019-225,ASN00001019-1,23,13,5,225,1,KALUMBURU GSN
ASN00001020,ASN00001020-225,ASN00001020-1,51,13,5,225,1,TRUSCOTT
ASN00001021,ASN00001021-225,ASN00001021-1,23,13,5,225,1,KALUMBURU MISSION
ASN00001025,ASN00001025-225,ASN00001025-1,385,13,5,225,1,DOONGAN
ASN00002011,ASN00002011-225,ASN00002011-1,360,13,5,225,1,OLD HALLS CREEK
ASN00002012,ASN00002012-225,ASN00002012-1,422,13,5,225,1,HALLS CREEK AIRPORT GSN
ASN00002014,ASN00002014-225,ASN00002014-1,31,13,5,225,1,KIMBERLEY RES.STATION
ASN00002032,ASN00002032-225,ASN00002032-1,203,13,5,225,1,WARMUN
ASN00002038,ASN00002038-225,ASN00002038-1,47,13,5,225,1,KUNUNURRA
ASN00002056,ASN00002056-225,ASN00002056-1,44,13,5,225,1,KUNUNURRA AERO
ASN00002064,ASN00002064-225,ASN00002064-1,164,13,5,225,1,ARGYLE AERODROME
